_id,Mechanism of Action,References,Creation Date,Update Date
11,"Lead inhibition of ferrochelatase prevents the biosynthesis of heme, which is a necesssary cofactor of hemoglobin. (L21)",L21 - Wikipedia. Lead poisoning. Last Updated 3 March 2009.  (http://en.wikipedia.org/wiki/Lead_poisoning),2009-04-14 21:08:35 UTC,2014-09-04 16:07:53 UTC
12,"Lead inhibition of ALAD prevents the biosynthesis of heme, which is a necesssary cofactor of hemoglobin. (L21)",L21 - Wikipedia. Lead poisoning. Last Updated 3 March 2009.  (http://en.wikipedia.org/wiki/Lead_poisoning),2009-04-14 21:08:35 UTC,2014-09-04 16:11:04 UTC
13,"Lead exhibits competitive inhibition at the NMDA receptor, affecting neurotransmitter release. (A22)","A22 - Hashemzadeh-Gargari H, Guilarte TR: Divalent cations modulate N-methyl-D-aspartate receptor function at the glycine site. J Pharmacol Exp Ther. 1999 Sep;290(3):1356-62. (10454514)",2009-04-14 21:08:35 UTC,2014-09-04 16:08:27 UTC
14,"Lead has been shown to competitively inhibit calcium's binding of calmodulin, interfering with neurotransmitter release. Lead binding of calmodulin causes inproper activation, altering proper functioning of cAMP messenger pathways. (A20)","A20 - Gill KD, Gupta V, Sandhir R: Ca2+/calmodulin-mediated neurotransmitter release and neurobehavioural deficits following lead exposure. Cell Biochem Funct. 2003 Dec;21(4):345-53. (14624473)",2009-04-14 21:08:35 UTC,2014-09-04 16:05:11 UTC
15,"Lead has been shown to bind thymosin beta-4, which funtions in the modulation of cytoskeletion, stimulation of CaM-dependent kinases, and GABA-A receptor complex function. It is also an immunotransmitter. (A21)","A21 - Smith DR, Kahng MW, Quintanilla-Vega B, Fowler BA: High-affinity renal lead-binding proteins in environmentally-exposed humans. Chem Biol Interact. 1998 Aug 14;115(1):39-52. (9817074)",2009-04-14 21:08:35 UTC,2014-09-04 16:12:14 UTC
16,"Lead is known to bind ACBP, which is responsible for the regulation of various processes such as acyl-CoA metabolism, GABA-A/benzodiazepine receptor modulation, steroidogenesis, intestinal cholecystokinin release, and insulin secretion. (A21)","A21 - Smith DR, Kahng MW, Quintanilla-Vega B, Fowler BA: High-affinity renal lead-binding proteins in environmentally-exposed humans. Chem Biol Interact. 1998 Aug 14;115(1):39-52. (9817074)",2009-04-14 21:08:35 UTC,2014-09-04 16:10:11 UTC
17,"Lead exhibits competitive inhibition with calcium at protein kinase C, which impairs brain microvascular formation and function, as well as alters the blood-brain barrier. (L136)",L136 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for lead. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp13.html),2009-04-14 21:08:35 UTC,2014-09-04 16:09:51 UTC
18,Lead binds to sodium/potassium-transporting ATPases. (A24),"A24 - Rajanna B, Chetty CS, Stewart TC, Rajanna S: Effects of lead on pH and temperature-dependent substrate-activation kinetics of ATPase system and its protection by thiol compounds in rat brain. Biomed Environ Sci. 1991 Dec;4(4):441-51. (1664209)",2009-04-14 21:08:35 UTC,2014-09-04 16:05:25 UTC
19,The binding of metabolites such as benzene oxide to the blood proteins albumin and haemoglobin lead to decreases in haematological cell counts and bone marrow cellularity. (L5),L5 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for benzene. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp3.html),2009-04-14 21:08:35 UTC,2014-09-04 15:56:28 UTC
20,Direct binding of histone leads to protein damage. (L5),L5 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for benzene. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp3.html),2009-04-14 21:08:35 UTC,2014-09-04 16:07:37 UTC
21,Benzene binding of DNA associated proteins leads to mutagenic effects. (L5),L5 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for benzene. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp3.html),2009-04-14 21:08:35 UTC,2014-09-04 16:07:42 UTC
22,Direct binding of tubulin leads to protein damage. (L5),L5 - ATSDR - Agency for Toxic Substances and Disease Registry (2007). Toxicological profile for benzene. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp3.html),2009-04-14 21:08:35 UTC,2014-09-04 16:11:50 UTC
23,"Cadmium binds to and activates the estrogen receptor, likely stimulating the growth of certain types of cancer cells and causing other estrogenic effects, such as reproductive dysfunction. (A19)","A19 - Zang Y, Odwin-Dacosta S, Yager JD: Effects of cadmium on estrogen receptor mediated signaling and estrogen induced DNA synthesis in T47D human breast cancer cells. Toxicol Lett. 2009 Jan 30;184(2):134-8. doi: 10.1016/j.toxlet.2008.10.032. Epub 2008 Nov 11. (19041697)",2009-04-14 21:08:35 UTC,2014-09-04 15:56:33 UTC
24,Cadmium causes cell apoptosis by activating mitogen-activated protein kinases. (A28),"A28 - Chen L, Liu L, Luo Y, Huang S: MAPK and mTOR pathways are involved in cadmium-induced neuronal apoptosis. J Neurochem. 2008 Apr;105(1):251-61. Epub 2007 Nov 16. (18021293)",2009-04-14 21:08:35 UTC,2014-09-04 16:10:30 UTC
25,"Many PAH's induce the expression of cytochrome P450 enzymes, especially CYP1A1, CYP1A2, and CYP1B1, by binding to the aryl hydrocarbon receptor or glycine N-methyltransferase protein. These enzymes metabolize PAH's into their toxic intermediates. The reactive metabolites of PAHs (epoxide intermediates, dihydrodiols, phenols, quinones, and their various combinations) covalently bind to DNA and other cellular macromolecules, initiating mutagenesis and carcinogenesis. (L10, L23, A27, A32)","A27 - Uno S, Dragin N, Miller ML, Dalton TP, Gonzalez FJ, Nebert DW: Basal and inducible CYP1 mRNA quantitation and protein localization throughout the mouse gastrointestinal tract. Free Radic Biol Med. 2008 Feb 15;44(4):570-83. Epub 2007 Nov 12. (17997381)
A32 - Padros J, Pelletier E: In vivo formation of (+)-anti-benzo[a]pyrene diol-epoxide-plasma albumin adducts in fish. Mar Environ Res. 2000 Jul-Dec;50(1-5):347-51. (11460716)
A6127 - Kizu R, Okamura K, Toriba A, Kakishima H, Mizokami A, Burnstein KL, Hayakawa K: A role of aryl hydrocarbon receptor in the antiandrogenic effects of polycyclic aromatic hydrocarbons in LNCaP human prostate carcinoma cells. Arch Toxicol. 2003 Jun;77(6):335-43. Epub 2003 Mar 12. (12799773)
L10 - ATSDR - Agency for Toxic Substances and Disease Registry (1995). Toxicological profile for PAHs. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp69.html)
L23 - Wikipedia. Benzopyrene. Last Updated 22 January 2009.  (http://en.wikipedia.org/wiki/Benzopyrene)",2009-04-14 21:08:35 UTC,2014-09-04 16:10:37 UTC
26,"Chloroform has been shown to block HERG potassium channels, causing cardiac arrest. (A29)","A29 - Scholz EP, Alter M, Zitron E, Kiesecker C, Kathofer S, Thomas D, Kreye VA, Kreuzer J, Becker R, Katus HA, Greten J, Karle CA: In vitro modulation of HERG channels by organochlorine solvent trichlormethane as potential explanation for proarrhythmic effects of chloroform. Toxicol Lett. 2006 Aug 20;165(2):156-66. Epub 2006 Mar 27. (16647228)",2009-04-14 21:08:35 UTC,2014-09-04 16:09:23 UTC
27,"This organochloride inhibits Na+/K+ ATPase and Ca2+ and Mg2+ ATPase, which are essential for the transport of calcium across membranes. This results in the accumulation of intracellular free calcium ions, which promotes release of neurotransmitters from storage vesicles, the subsequent depolarization of adjacent neurons, and the propagation of stimuli throughout the central nervous system. (T10)","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:35 UTC,2014-09-04 16:05:25 UTC
28,"DDT inhibits the ability of calmodulin, a calcium mediator in nerves, to transport calcium ions that are essential for the release of neurotransmitters. This reduces the rate of depolarization and increases the sensitivity of neurons to small stimuli that would not elicit a response in a fully depolarized neuron. (T10) ","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:35 UTC,2014-09-04 16:05:11 UTC
29,Causes endocrine disruption in humans by binding to and inhibiting the estrogen receptor. (A590),"A59 - Lemaire G, Mnif W, Mauvais P, Balaguer P, Rahmani R: Activation of alpha- and beta-estrogen receptors by persistent pesticides in reporter cell lines. Life Sci. 2006 Aug 15;79(12):1160-9. Epub 2006 Mar 27. (16626760)
A590 - Taccone-Gallucci M, Manca-di-Villahermosa S, Battistini L, Stuffler RG, Tedesco M, Maccarrone M: N-3 PUFAs reduce oxidative stress in ESRD patients on maintenance HD by inhibiting 5-lipoxygenase activity. Kidney Int. 2006 Apr;69(8):1450-4. (16531984)
A9821 - Fujimoto N, Kitamura S: Effects of environmental estrogenic chemicals on AP1 mediated transcription with estrogen receptors alpha and beta. J Steroid Biochem Mol Biol. 2004 Jan;88(1):53-9. (15026083)
A9877 - Kojima H, Iida M, Katsura E, Kanetoshi A, Hori Y, Kobayashi K: Effects of a diphenyl ether-type herbicide, chlornitrofen, and its amino derivative on androgen and estrogen receptor activities. Environ Health Perspect. 2003 Apr;111(4):497-502. (12676605)
A15114 - Sipes NS, Martin MT, Kothiya P, Reif DM, Judson RS, Richard AM, Houck KA, Dix DJ, Kavlock RJ, Knudsen TB: Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays. Chem Res Toxicol. 2013 Jun 17;26(6):878-95. doi: 10.1021/tx400021f. Epub 2013 May 16. (23611293)
T152 - Luft S, Milki E, Glustrom E, Ampiah-Bonney R, O'Hara P. Binding of Organochloride and Pyrethroid Pesticides To Estrogen Receptors Î± and Î²: A Fluorescence Polarization Assay. Biophysical Journal 2009;96(3):444a. ",2009-04-14 21:08:35 UTC,2014-09-04 15:56:33 UTC
30,DDT is also believed to adversely affect the reproductive system by mimicking endogenous hormones and binding to the estrogen and adrogen receptors. (L85),"A9666 - Sonneveld E, Jansen HJ, Riteco JA, Brouwer A, van der Burg B: Development of androgen- and estrogen-responsive bioassays, members of a panel of human cell line-based highly selective steroid-responsive bioassays. Toxicol Sci. 2005 Jan;83(1):136-48. Epub 2004 Oct 13. (15483189)
A9667 - Maness SC, McDonnell DP, Gaido KW: Inhibition of androgen receptor-dependent transcriptional activity by DDT isomers and methoxychlor in HepG2 human hepatoma cells. Toxicol Appl Pharmacol. 1998 Jul;151(1):135-42. (9705896)
L85 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for DDT, DDE, and DDD. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp35.html)",2009-04-14 21:08:35 UTC,2014-09-04 16:05:37 UTC
31,"Aroclor 1254 inhibits ATP-citrate synthase, causing a decrease in fatty acid synthesis. (A67)","A67 - Kling D, Kunkle J, Roller AS, Gamble W: Polychlorinated biphenyls: in vivo and in vitro modifications of cholesterol and fatty acid biosynthesis. J Environ Pathol Toxicol. 1978 Jul-Aug;1(6):813-28. (32219)",2009-04-14 21:08:35 UTC,2014-09-04 16:06:02 UTC
32,"Dioxin-like PCBs bind to the aryl hydrocarbon receptor, which disrupts cell function by altering the transcription of genes, mainly be inducing the expression of hepatic Phase I and Phase II enzymes, especially of the cytochrome P450 family. (A4)","A4 - Safe S, Bandiera S, Sawyer T, Robertson L, Safe L, Parkinson A, Thomas PE, Ryan DE, Reik LM, Levin W, et al.: PCBs: structure-function relationships and mechanism of action. Environ Health Perspect. 1985 May;60:47-56. (2992927)",2009-04-14 21:08:35 UTC,2014-09-04 16:10:37 UTC
33,"PCBs can cause endocrine disurption by binding to estrogen sulfotransferase, which can stimulate the growth of certain cancer cells and produce other estrogenic effects, such as reproductive dysfunction. (A3, A66)","A3 - Aoki Y: Polychlorinated biphenyls, polychlorinated dibenzo-p-dioxins, and polychlorinated dibenzofurans as endocrine disrupters--what we have learned from Yusho disease. Environ Res. 2001 May;86(1):2-11. (11386736)
A66 - Kester MH, Bulduk S, Tibboel D, Meinl W, Glatt H, Falany CN, Coughtrie MW, Bergman A, Safe SH, Kuiper GG, Schuur AG, Brouwer A, Visser TJ: Potent inhibition of estrogen sulfotransferase by hydroxylated PCB metabolites: a novel pathway explaining the estrogenic activity of PCBs. Endocrinology. 2000 May;141(5):1897-900. (10803601)",2009-04-14 21:08:35 UTC,2014-09-04 16:12:36 UTC
34,PCBs will bioaccumulate by binding to receptor proteins such as uteroglobin. (A30),"A30 - Troisi GM, Haraguchi K, Kaydoo DS, Nyman M, Aguilar A, Borrell A, Siebert U, Mason CF: Bioaccumulation of polychlorinated biphenyls (PCBs) and dichlorodiphenylethane (DDE) methyl sulfones in tissues of seal and dolphin morbillivirus epizootic victims. J Toxicol Environ Health A. 2001 Jan 12;62(1):1-8. (11205532)",2009-04-14 21:08:36 UTC,2014-09-04 16:07:15 UTC
35,"The toxic and carcinogenic effects of trichloroethylene are believed to be cause mainly by its metabolites, including trichloroacetic acid, dichloroacetic acid, and chloral hydrate. The nephrotoxicity and nephrocarcinogenicity of TRI have been attributed to glutathione conjunction, which forms reactive, sulfur-containing metabolites. Dichloroacetic acid is known to inhibit pyruvate dehydrogenase kinase. (A50)","A50 - Lantum HB, Baggs RB, Krenitsky DM, Anders MW: Nephrotoxicity of chlorofluoroacetic acid in rats. Toxicol Sci. 2002 Dec;70(2):261-8. (12441371)",2009-04-14 21:08:36 UTC,2014-09-04 16:06:57 UTC
36,"The toxic and carcinogenic effects of trichloroethylene are believed to be cause mainly by its metabolites, including trichloroacetic acid, dichloroacetic acid, and chloral hydrate. The nephrotoxicity and nephrocarcinogenicity of TRI have been attributed to glutathione conjunction, which forms reactive, sulfur-containing metabolites. Chloral hydrate inhibits alcohol dehydrogenase. (A51)","A51 - Sharkawi M, De Saint Blanquat G, Elfassy B: Inhibition of alcohol dehydrogenase by chloral hydrate and trichloroethanol: possible role in the chloral hydrate-ethanol interaction. Toxicol Lett. 1983 Jul;17(3-4):321-8. (6353674)",2009-04-14 21:08:36 UTC,2014-09-04 16:06:37 UTC
37,"The toxic and carcinogenic effects of trichloroethylene are believed to be cause mainly by its metabolites, including trichloroacetic acid, dichloroacetic acid, and chloral hydrate. The nephrotoxicity and nephrocarcinogenicity of TRI have been attributed to glutathione conjunction, which forms reactive, sulfur-containing metabolites. Chloral hydrate inhibits alcohol dehydrogenase. (A51) ","A51 - Sharkawi M, De Saint Blanquat G, Elfassy B: Inhibition of alcohol dehydrogenase by chloral hydrate and trichloroethanol: possible role in the chloral hydrate-ethanol interaction. Toxicol Lett. 1983 Jul;17(3-4):321-8. (6353674)",2009-04-14 21:08:36 UTC,2014-09-04 16:05:21 UTC
38,"Dieldrin binds to alpha-synuclein, leading to the formation of intracellular fibrils. (L87)",L87 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for aldrin/dieldrin. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp1.html),2009-04-14 21:08:36 UTC,2014-09-04 16:06:00 UTC
39,"This organochloride antagonizes the action of the neurotransmitter gamma-aminobutyric acid (GABA) acting at the GABA-A receptors, effectively blocking the GABA-induced uptake of chloride ions and causing hyperexcitability of the central nervous system. (T10)","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:36 UTC,2014-09-04 16:05:42 UTC
40,Chromium has been shown to induce carcinogenesis by overstimulating cellular regulatory pathways and increasing peroxide levels by activating certain mitogen-activated protein kinases. (A34),"A34 - Kim G, Yurkow EJ: Chromium induces a persistent activation of mitogen-activated protein kinases by a redox-sensitive mechanism in H4 rat hepatoma cells. Cancer Res. 1996 May 1;56(9):2045-51. (8616849)",2009-04-14 21:08:36 UTC,2014-09-04 16:10:30 UTC
41,"Chromium can cause transcriptional repression by cross-linking histone deacetylase 1-DNA methyltransferase 1 complexes to CYP1A1 promoter chromatin, inhibiting histone modification. (A35)","A35 - Schnekenburger M, Talaska G, Puga A: Chromium cross-links histone deacetylase 1-DNA methyltransferase 1 complexes to chromatin, inhibiting histone-remodeling marks critical for transcriptional activation. Mol Cell Biol. 2007 Oct;27(20):7089-101. Epub 2007 Aug 6. (17682057)",2009-04-14 21:08:36 UTC,2014-09-04 16:09:06 UTC
42,"Chromium may increase its own toxicity by modifying metal regulatory transcription factor 1, causing the inhibition of zinc-induced metallothionein transcription. (A36)",A36 - Kimura T: [Molecular mechanism involved in chromium(VI) toxicity]. Yakugaku Zasshi. 2007 Dec;127(12):1957-65. (18057785),2009-04-14 21:08:36 UTC,2014-09-04 16:07:51 UTC
43,Chlordane affects transcription by antagonizing estrogen-related receptors. (A52) ,"A52 - Ariazi EA, Jordan VC: Estrogen-related receptors as emerging targets in cancer and metabolic disorders. Curr Top Med Chem. 2006;6(3):203-15. (16515477)",2009-04-14 21:08:36 UTC,2014-09-04 16:11:26 UTC
44,Chlordane affects transcription by antagonizing estrogen-related receptors. (A52),"A52 - Ariazi EA, Jordan VC: Estrogen-related receptors as emerging targets in cancer and metabolic disorders. Curr Top Med Chem. 2006;6(3):203-15. (16515477)",2009-04-14 21:08:36 UTC,2014-09-04 16:06:46 UTC
45,"Chlordane has been shown to bind and activate retinoic acid receptor, causing various developmental defects. (A53)","A53 - Lemaire G, Balaguer P, Michel S, Rahmani R: Activation of retinoic acid receptor-dependent transcription by organochlorine pesticides. Toxicol Appl Pharmacol. 2005 Jan 1;202(1):38-49. (15589975)
A15114 - Sipes NS, Martin MT, Kothiya P, Reif DM, Judson RS, Richard AM, Houck KA, Dix DJ, Kavlock RJ, Knudsen TB: Profiling 976 ToxCast chemicals across 331 enzymatic and receptor signaling assays. Chem Res Toxicol. 2013 Jun 17;26(6):878-95. doi: 10.1021/tx400021f. Epub 2013 May 16. (23611293)",2009-04-14 21:08:36 UTC,2014-09-04 16:08:21 UTC
46,DDE is also believed to adversely affect the reproductive system by mimicking endogenous hormones and binding to the estrogen and adrogen receptors. (L85) ,"A9667 - Maness SC, McDonnell DP, Gaido KW: Inhibition of androgen receptor-dependent transcriptional activity by DDT isomers and methoxychlor in HepG2 human hepatoma cells. Toxicol Appl Pharmacol. 1998 Jul;151(1):135-42. (9705896)
L85 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for DDT, DDE, and DDD. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp35.html)",2009-04-14 21:08:36 UTC,2014-09-04 16:05:37 UTC
47,"DDE inhibits the ability of calmodulin, a calcium mediator in nerves, to transport calcium ions that are essential for the release of neurotransmitters. This reduces the rate of depolarization and increases the sensitivity of neurons to small stimuli that would not elicit a response in a fully depolarized neuron. (T10) ","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:36 UTC,2014-09-04 16:05:11 UTC
48,DDD is also believed to adversely affect the reproductive system by mimicking endogenous hormones and binding to the estrogen and adrogen receptors. (L85) ,"A9887 - Yamasaki K, Sawaki M, Noda S, Muroi T, Takakura S, Mitoma H, Sakamoto S, Nakai M, Yakabe Y: Comparison of the Hershberger assay and androgen receptor binding assay of twelve chemicals. Toxicology. 2004 Feb 15;195(2-3):177-86. (14751673)
L85 - ATSDR - Agency for Toxic Substances and Disease Registry (2005). Toxicological profile for DDT, DDE, and DDD. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp35.html)",2009-04-14 21:08:36 UTC,2014-09-04 16:05:37 UTC
49,"DDD inhibits the ability of calmodulin, a calcium mediator in nerves, to transport calcium ions that are essential for the release of neurotransmitters. This reduces the rate of depolarization and increases the sensitivity of neurons to small stimuli that would not elicit a response in a fully depolarized neuron. (T10) ","T10 - Casarett LJ, Klaassen CD, and Watkins JB (2003). Casarett and Doull's essentials of toxicology. New York: McGraw-Hill/Medical Pub. Div. ",2009-04-14 21:08:36 UTC,2014-09-04 16:05:11 UTC
50,"Dioxin-like PCBs bind to the aryl hydrocarbon receptor, which disrupts cell function by altering the transcription of genes, mainly be inducing the expression of hepatic Phase I and Phase II enzymes, especially of the cytochrome P450 family. (A4) ","A4 - Safe S, Bandiera S, Sawyer T, Robertson L, Safe L, Parkinson A, Thomas PE, Ryan DE, Reik LM, Levin W, et al.: PCBs: structure-function relationships and mechanism of action. Environ Health Perspect. 1985 May;60:47-56. (2992927)",2009-04-14 21:08:36 UTC,2014-09-04 16:10:37 UTC
51,"PCBs can cause endocrine disurption by binding to estrogen sulfotransferase, which can stimulate the growth of certain cancer cells and produce other estrogenic effects, such as reproductive dysfunction. (A3, A66) ","A3 - Aoki Y: Polychlorinated biphenyls, polychlorinated dibenzo-p-dioxins, and polychlorinated dibenzofurans as endocrine disrupters--what we have learned from Yusho disease. Environ Res. 2001 May;86(1):2-11. (11386736)
A66 - Kester MH, Bulduk S, Tibboel D, Meinl W, Glatt H, Falany CN, Coughtrie MW, Bergman A, Safe SH, Kuiper GG, Schuur AG, Brouwer A, Visser TJ: Potent inhibition of estrogen sulfotransferase by hydroxylated PCB metabolites: a novel pathway explaining the estrogenic activity of PCBs. Endocrinology. 2000 May;141(5):1897-900. (10803601)",2009-04-14 21:08:36 UTC,2014-09-04 16:12:36 UTC
52,PCBs will bioaccumulate by binding to receptor proteins such as uteroglobin. (A30) ,"A30 - Troisi GM, Haraguchi K, Kaydoo DS, Nyman M, Aguilar A, Borrell A, Siebert U, Mason CF: Bioaccumulation of polychlorinated biphenyls (PCBs) and dichlorodiphenylethane (DDE) methyl sulfones in tissues of seal and dolphin morbillivirus epizootic victims. J Toxicol Environ Health A. 2001 Jan 12;62(1):1-8. (11205532)",2009-04-14 21:08:37 UTC,2014-09-04 16:07:15 UTC
53,"Cyanide is an inhibitor of cytochrome c oxidase in the fourth complex of the electron transport chain (found in the membrane of the mitochondria of eukaryotic cells). It complexes with the ferric iron atom in this enzyme. The binding of cyanide to this cytochrome prevents transport of electrons from cytochrome c oxidase to oxygen. As a result, the electron transport chain is disrupted and the cell can no longer aerobically produce ATP for energy. Tissues that mainly depend on aerobic respiration, such as the central nervous system and the heart, are particularly affected. (L97)",L97 - Wikipedia. Cyanide poisoning. Last Updated 30 March 2009.  (http://en.wikipedia.org/wiki/Cyanide_poisoning),2009-04-14 21:08:37 UTC,2014-09-04 16:09:35 UTC
54,Cyanide inhibits catalase. (A74) ,"A74 - Kang YS, Lee DH, Yoon BJ, Oh DC: Purification and characterization of a catalase from photosynthetic bacterium Rhodospirillum rubrum S1 grown under anaerobic conditions. J Microbiol. 2006 Apr;44(2):185-91. (16728955)",2009-04-14 21:08:37 UTC,2014-09-04 16:12:43 UTC
55,Cyanide inhibits glutathione peroxidases. (A75) ,"A75 - Kraus RJ, Ganther HE: Reaction of cyanide with glutathione peroxidase. Biochem Biophys Res Commun. 1980 Oct 16;96(3):1116-22. (7437059)",2009-04-14 21:08:37 UTC,2014-09-04 16:09:02 UTC
